"Class","Path","RefCount"
"KnowledgeBaseFile","C:\xampp\htdocs\crm\app\Models\KnowledgeBaseFile.php","29"
"Pinned","C:\xampp\htdocs\crm\app\Models\Pinned.php","29"
"ProjectSetting","C:\xampp\htdocs\crm\app\Models\ProjectSetting.php","29"
"CreditNoteItem","C:\xampp\htdocs\crm\app\Models\CreditNoteItem.php","30"
"ProductSubCategory","C:\xampp\htdocs\crm\app\Models\ProductSubCategory.php","30"
"ProposalTemplateItemImage","C:\xampp\htdocs\crm\app\Models\ProposalTemplateItemImage.php","30"
"RemovalRequest","C:\xampp\htdocs\crm\app\Models\RemovalRequest.php","30"
"TicketReplyTemplate","C:\xampp\htdocs\crm\app\Models\TicketReplyTemplate.php","30"
"UserLeadboardSetting","C:\xampp\htdocs\crm\app\Models\UserLeadboardSetting.php","30"
"ClientCategory","C:\xampp\htdocs\crm\app\Models\ClientCategory.php","31"
"ClientContact","C:\xampp\htdocs\crm\app\Models\ClientContact.php","31"
"ContractRenew","C:\xampp\htdocs\crm\app\Models\ContractRenew.php","31"
"FileStorage","C:\xampp\htdocs\crm\app\Models\FileStorage.php","31"
"LeadNote","C:\xampp\htdocs\crm\app\Models\LeadNote.php","31"
"ProposalItemImage","C:\xampp\htdocs\crm\app\Models\ProposalItemImage.php","31"
"PurposeConsent","C:\xampp\htdocs\crm\app\Models\PurposeConsent.php","31"
"SlackSetting","C:\xampp\htdocs\crm\app\Models\SlackSetting.php","31"
"TicketFile","C:\xampp\htdocs\crm\app\Models\TicketFile.php","31"
"WhatsappNotificationSetting","C:\xampp\htdocs\crm\app\Models\WhatsappNotificationSetting.php","31"
"InvoiceFiles","C:\xampp\htdocs\crm\app\Models\InvoiceFiles.php","32"
"KnowledgeBaseCategory","C:\xampp\htdocs\crm\app\Models\KnowledgeBaseCategory.php","32"
"QuickBooksSetting","C:\xampp\htdocs\crm\app\Models\QuickBooksSetting.php","32"
"ThemeSetting","C:\xampp\htdocs\crm\app\Models\ThemeSetting.php","32"
"EventAttendee","C:\xampp\htdocs\crm\app\Models\EventAttendee.php","33"
