"Name","RefCount"
"lead-report.destroy","0"
"lead-report.edit","0"
"lead-report.index","0"
"lead-report.show","0"
"lead-report.store","0"
"lead-report.update","0"
"lead-settings.create","0"
"lead-settings.destroy","0"
"lead-settings.edit","0"
"lead-settings.show","0"
"lead-settings.store","0"
"lead-settings.update","0"
"lead-source-settings.index","0"
"lead-source-settings.show","0"
"lead-stage-setting.index","0"
"lead-stage-setting.show","0"
"leave-files.create","0"
"leave-files.edit","0"
"leave-files.index","0"
"leave-files.show","0"
"leave-files.update","0"
"leave-report.create","0"
"leave-report.destroy","0"
"leave-report.edit","0"
"leave-report.store","0"
"leave-report.update","0"
"leaves.data","0"
"leaves-settings.create","0"
"leaves-settings.destroy","0"
"leaves-settings.edit","0"
"leaves-settings.show","0"
"leaves-settings.update","0"
"leaveType.index","0"
"leaveType.show","0"
"login.store","0"
"message-file.create","0"
"message-file.edit","0"
"message-file.index","0"
"message-file.show","0"
"message-file.update","0"
"messages.edit","0"
"messages.update","0"
"message-settings.create","0"
"message-settings.destroy","0"
"message-settings.edit","0"
"message-settings.show","0"
"message-settings.store","0"
"milestones.index","0"
"mobile.login","0"
"module-settings.create","0"
"module-settings.destroy","0"
"module-settings.edit","0"
"module-settings.show","0"
"module-settings.store","0"
"notifications.create","0"
"notifications.destroy","0"
"notifications.edit","0"
"notifications.show","0"
"notifications.store","0"
"notifications.update","0"
"oauth2.authorise","0"
"oauth2.authorize","0"
"oauth2.callback","0"
"offline-payment-setting.show","0"
"orders.store_quantity","0"
"passport.index","0"
"passport.show","0"
"password.confirm.store","0"
"password.confirmation","0"
"password.request","0"
"payment-gateway-settings.create","0"
"payment-gateway-settings.destroy","0"
"payment-gateway-settings.edit","0"
"payment-gateway-settings.show","0"
"payment-gateway-settings.store","0"
"paypal_recurring","0"
"productCategory.edit","0"
"productCategory.index","0"
"productCategory.show","0"
"product-files.create","0"
"product-files.delete_image","0"
"product-files.download","0"
"product-files.edit","0"
"product-files.index","0"
"product-files.show","0"
"product-files.update","0"
"productSubCategory.edit","0"
"productSubCategory.index","0"
"productSubCategory.show","0"
"profile.create","0"
"profile.destroy","0"
"profile.edit","0"
"profile.index","0"
"profile.show","0"
"profile.store","0"
"profile-settings.create","0"
"profile-settings.destroy","0"
"profile-settings.edit","0"
"profile-settings.show","0"
"profile-settings.store","0"
"profile-settings.update","0"
"project_template_task.data","0"
"project-calendar.create","0"
"project-calendar.destroy","0"
"project-calendar.edit","0"
"project-calendar.show","0"
"project-calendar.store","0"
"project-calendar.update","0"
"projectCategory.index","0"
"projectCategory.show","0"
"project-members.edit","0"
"project-members.index","0"
"project-members.show","0"
"project-notes.index","0"
"project-ratings.create","0"
"project-ratings.edit","0"
"project-ratings.index","0"
"project-ratings.show","0"
"project-settings.show","0"
"project-template-member.edit","0"
"project-template-member.index","0"
"project-template-member.show","0"
"project-template-member.update","0"
"project-template-sub-task.create","0"
"project-template-sub-task.index","0"
"project-template-sub-task.show","0"
"project-template-sub-task.update","0"
"project-template-task.index","0"
"public.documents.approve","0"
"public.documents.download","0"
"public.documents.reject","0"
"public.documents.show","0"
"public.documents.sign","0"
"pusher-settings.create","0"
"pusher-settings.destroy","0"
"pusher-settings.edit","0"
"pusher-settings.index","0"
"pusher-settings.show","0"
"pusher-settings.store","0"
"push-notification-settings.create","0"
"push-notification-settings.destroy","0"
"push-notification-settings.edit","0"
"push-notification-settings.index","0"
"push-notification-settings.show","0"
"push-notification-settings.store","0"
"quickbooks-settings.create","0"
"quickbooks-settings.destroy","0"
"quickbooks-settings.edit","0"
"quickbooks-settings.index","0"
"quickbooks-settings.show","0"
"quickbooks-settings.store","0"
"recurring_invoice.export","0"
"recurring_invoice.recurring_invoice","0"
"register.store","0"
"replyTemplates.index","0"
"replyTemplates.show","0"
"role-permissions.destroy","0"
"role-permissions.edit","0"
"role-permissions.show","0"
"sales-report.create","0"
"sales-report.destroy","0"
"sales-report.edit","0"
"sales-report.show","0"
"sales-report.store","0"
"sales-report.update","0"
"sanctum.csrf-cookie","0"
"search.create","0"
"search.destroy","0"
"search.edit","0"
"search.show","0"
"search.update","0"
"security-settings.create","0"
"security-settings.destroy","0"
"security-settings.edit","0"
"security-settings.show","0"
"security-settings.store","0"
"settings.change_language","0"
"settings.edit","0"
"settings.index","0"
"settings.update","0"
"shifts.edit","0"
"shifts.show","0"
"shifts-change.create","0"
"shifts-change.show","0"
"shifts-change.store","0"
"slack-settings.create","0"
"slack-settings.destroy","0"
"slack-settings.edit","0"
"slack-settings.index","0"
"slack-settings.show","0"
"slack-settings.store","0"
"smtp-settings.create","0"
"smtp-settings.destroy","0"
"smtp-settings.edit","0"
"smtp-settings.index","0"
"smtp-settings.show","0"
"smtp-settings.store","0"
"storage-settings.create","0"
"storage-settings.destroy","0"
"storage-settings.edit","0"
"storage-settings.show","0"
"storage-settings.update","0"
"sub-task-files.create","0"
"sub-task-files.edit","0"
"sub-task-files.index","0"
"sub-task-files.show","0"
"sub-task-files.update","0"
"sub-tasks.create","0"
"sub-tasks.index","0"
"sync_user_permissions","0"
"taskboards.show","0"
"task-calendar.create","0"
"task-calendar.destroy","0"
"task-calendar.edit","0"
"task-calendar.show","0"
"task-calendar.store","0"
"task-calendar.update","0"
"taskCategory.edit","0"
"taskCategory.index","0"
"taskCategory.show","0"
"taskComment.create","0"
"taskComment.index","0"
"taskComment.show","0"
"task-files.create","0"
"task-files.edit","0"
"task-files.index","0"
"task-files.update","0"
"task-label.edit","0"
"task-label.index","0"
"task-label.show","0"
"task-note.create","0"
"task-note.index","0"
"task-note.show","0"
"task-report.create","0"
"task-report.destroy","0"
"task-report.edit","0"
"task-report.show","0"
"task-report.store","0"
"task-report.update","0"
"taxes.show","0"
"theme-settings.create","0"
"theme-settings.destroy","0"
"theme-settings.edit","0"
"theme-settings.show","0"
"theme-settings.update","0"
"ticket-agents.edit","0"
"ticket-agents.index","0"
"ticket-agents.show","0"
"ticketChannels.index","0"
"ticketChannels.show","0"
"ticket-email-settings.create","0"
"ticket-email-settings.destroy","0"
"ticket-email-settings.edit","0"
"ticket-email-settings.index","0"
"ticket-email-settings.show","0"
"ticket-email-settings.store","0"
"ticket-files.create","0"
"ticket-files.edit","0"
"ticket-files.index","0"
"ticket-files.show","0"
"ticket-files.update","0"
"ticket-form.create","0"
"ticket-form.destroy","0"
"ticket-form.edit","0"
"ticket-form.show","0"
"ticket-form.store","0"
"ticket-groups.index","0"
"ticket-groups.show","0"
"ticket-replies.create","0"
"ticket-replies.edit","0"
"ticket-replies.index","0"
"ticket-replies.show","0"
"ticket-replies.store","0"
"ticket-replies.update","0"
"tickets.edit","0"
"ticket-settings.create","0"
"ticket-settings.destroy","0"
"ticket-settings.edit","0"
"ticket-settings.show","0"
"ticket-settings.store","0"
"ticket-settings.update","0"
"ticketTypes.index","0"
"ticketTypes.show","0"
"timelog-break.create","0"
"timelog-break.index","0"
"timelog-break.show","0"
"timelog-break.store","0"
"timelog-calendar.create","0"
"timelog-calendar.destroy","0"
"timelog-calendar.edit","0"
"timelog-calendar.show","0"
"timelog-calendar.store","0"
"timelog-calendar.update","0"
"time-log-report.create","0"
"time-log-report.destroy","0"
"time-log-report.edit","0"
"time-log-report.show","0"
"time-log-report.store","0"
"time-log-report.update","0"
"timelog-settings.create","0"
"timelog-settings.destroy","0"
"timelog-settings.edit","0"
"timelog-settings.show","0"
"timelog-settings.update","0"
"two-factor.confirm","0"
"two-factor.disable","0"
"two-factor.login.store","0"
"two-factor.qr-code","0"
"two-factor.recovery-codes","0"
"two-factor.regenerate-recovery-codes","0"
"two-factor.secret-key","0"
"two-fa-settings.create","0"
"two-fa-settings.destroy","0"
"two-fa-settings.edit","0"
"two-fa-settings.index","0"
"two-fa-settings.show","0"
"two-fa-settings.store","0"
"unit-type.index","0"
"unit-type.show","0"
"update-database","0"
"update-settings.create","0"
